2026/01/16 20:23更新,#genre#
IPTV野外,http://114.107.44.190:8188/udp/238.1.78.4:7936
IPTV早教,http://115.171.80.52:1688/rtp/225.1.8.239:4120
IPTV音乐现场,http://115.171.80.52:1688/rtp/225.1.8.230:4120
IPTV戏曲,http://115.171.80.52:1688/rtp/225.1.8.238:4120
IPTV墨宝,http://115.171.80.52:1688/rtp/225.1.8.243:4120
IPTV军事,http://115.171.80.52:1688/rtp/225.1.8.236:4120
IPTV解密,http://115.171.80.52:1688/rtp/225.1.8.235:4120
IPTV国学,http://115.171.80.52:1688/rtp/225.1.8.237:4120
IPTV3综艺,http://111.127.156.214:51234/rtp/239.29.1.18:5001
IPTV8电视剧,http://111.127.156.214:51234/rtp/239.29.1.21:5001
精彩影视,http://171.213.239.145:8188/udp/239.94.1.172:5140
睛彩青少,http://183.220.107.138:4022/rtp/239.10.0.130:5140
睛彩竞技,http://114.254.38.86:18888/rtp/239.3.1.125:8001
睛彩篮球,http://114.254.38.86:18888/rtp/239.3.1.126:8001
睛彩广场,http://114.254.38.86:18888/rtp/239.3.1.128:8001
欢笑剧场,http://171.213.239.145:8188/udp/239.94.1.176:5140
都市剧场,http://171.213.239.145:8188/udp/239.94.1.133:5140
魅力足球,http://111.162.207.111:8686/rtp/225.1.1.137:5002
法治天地,http://171.213.239.145:8188/udp/239.94.1.166:5140
乐游,http://171.213.239.145:8188/udp/239.94.1.164:5140
金色学堂,http://171.213.239.145:8188/udp/239.94.1.165:5140
动漫秀场,http://171.213.239.145:8188/udp/239.94.1.171:5140
生活时尚,http://183.220.107.138:4022/rtp/239.10.0.102:5140
iHOT爱院线,http://171.213.239.145:8188/udp/239.94.1.132:5140
iHOT爱科幻,http://171.213.239.145:8188/udp/239.94.1.131:5140
iHOT爱浪漫,http://171.213.239.145:8188/udp/239.94.1.128:5140
iHOT爱喜剧,http://171.213.239.145:8188/udp/239.94.2.71:5140
iHOT爱都市,http://171.213.239.145:8188/udp/239.93.42.15:5140
iHOT爱悬疑,http://171.213.239.145:8188/udp/239.94.1.136:5140
iHOT爱赛车,http://171.213.239.145:8188/udp/239.94.1.144:5140
iHOT爱奇谈,http://171.213.239.145:8188/udp/239.94.1.130:5140
iHOT爱玩具,http://171.213.239.145:8188/udp/239.94.1.140:5140
iHOT爱旅行,http://171.213.239.145:8188/udp/239.94.1.137:5140
iHOT爱幼教,http://171.213.239.145:8188/udp/239.94.1.139:5140
iHOT爱谍战,http://171.213.239.145:8188/udp/239.94.1.134:5140
iHOT爱历史,http://171.213.239.145:8188/udp/239.94.1.135:5140
iHOT爱动漫,http://171.213.239.145:8188/udp/239.94.1.141:5140
iHOT爱体育,http://171.213.239.145:8188/udp/239.94.1.143:5140
BesTV谍战剧场,http://171.213.239.145:8188/udp/239.93.0.95:5140
BesTV华语电影,http://171.213.239.145:8188/udp/239.93.0.138:5140
BesTV星光影院,http://171.213.239.145:8188/udp/239.94.1.23:5140
