2026/09/05 04:58更新,#genre#
华数军旅剧场,http://112.66.102.205:8888/rtp/239.253.64.228:5140
华数家庭影院,http://112.66.102.205:8888/rtp/239.253.64.225:5140
华数古装剧场,http://112.66.102.205:8888/rtp/239.253.64.221:5140
华数动作影院,http://112.66.102.205:8888/rtp/239.253.64.220:5140
华数城市剧场,http://112.66.102.205:8888/rtp/239.253.64.218:5140
华数精选,http://112.66.102.205:8888/rtp/239.253.64.224:5140
经典剧场,http://183.222.206.14:8096/udp/239.94.1.49:5140
IPTV法治,http://112.66.102.205:8888/rtp/239.253.64.213:5140
地理,http://183.222.206.14:8096/udp/239.94.1.54:5140
IPTV相声小品,http://112.66.102.205:8888/rtp/239.253.64.214:5140
IPTV野外,http://112.66.102.205:8888/rtp/239.253.64.215:5140
足球,http://183.222.206.14:8096/udp/239.94.1.47:5140
IPTV早教,http://112.66.102.205:8888/rtp/239.253.64.236:5140
IPTV音乐现场,http://112.66.102.205:8888/rtp/239.253.64.235:5140
IPTV戏曲,http://112.66.102.205:8888/rtp/239.253.64.234:5140
IPTV武术,http://112.66.102.205:8888/rtp/239.253.64.170:5140
高网,http://112.66.102.205:8888/rtp/239.253.64.250:5140
IPTV台球,http://112.66.102.205:8888/rtp/239.253.64.164:5140
IPTV收视指南,http://112.66.102.205:8888/rtp/239.253.64.238:5140
墨宝,http://183.222.206.14:8096/udp/239.94.1.51:5140
IPTV美人,http://112.66.102.205:8888/rtp/239.253.64.123:5140
军事,http://183.222.206.14:8096/udp/239.94.1.52:5140
解密,http://183.222.206.14:8096/udp/239.94.1.53:5140
IPTV好学生,http://112.66.102.205:8888/rtp/239.253.64.223:5140
IPTV国学,http://112.66.102.205:8888/rtp/239.253.64.222:5140
IPTV爱生活,http://112.66.102.205:8888/rtp/239.253.64.216:5140
IPTV3+,http://112.66.102.205:8888/rtp/239.253.64.10:5140
IPTV5,http://183.222.206.14:8096/udp/239.94.1.44:5140
IPTV8+,http://112.66.102.205:8888/rtp/239.253.64.160:5140
先锋乒羽,http://183.222.206.14:8096/udp/239.94.1.151:5140
天元围棋,http://183.222.206.14:8096/udp/239.94.1.152:5140
精彩影视,http://183.222.206.14:8096/udp/239.94.1.172:5140
睛彩青少,http://112.66.102.205:8888/rtp/239.253.64.153:5140
睛彩竞技,http://112.66.102.205:8888/rtp/239.253.64.151:5140
睛彩篮球,http://112.66.102.205:8888/rtp/239.253.64.152:5140
睛彩广场舞,http://112.66.102.205:8888/rtp/239.253.64.154:5140
欢笑剧场,http://183.222.206.14:8096/udp/239.94.1.176:5140
都市剧场,http://183.222.206.14:8096/udp/239.94.1.133:5140
法治天地,http://183.222.206.14:8096/udp/239.94.1.166:5140
乐游,http://183.222.206.14:8096/udp/239.94.1.164:5140
四海钓鱼,http://183.222.206.14:8096/udp/239.94.1.168:5140
金色学堂,http://183.222.206.14:8096/udp/239.94.1.165:5140
动漫秀场,http://183.222.206.14:8096/udp/239.94.1.171:5140
iHOT爱院线,http://183.222.206.14:8096/udp/239.94.1.132:5140
iHOT爱科幻,http://183.222.206.14:8096/udp/239.94.1.131:5140
iHOT爱浪漫,http://183.222.206.14:8096/udp/239.94.1.128:5140
iHOT爱喜剧,http://183.222.206.14:8096/udp/239.94.2.71:5140
iHOT爱都市,http://183.222.206.14:8096/udp/239.93.42.15:5140
iHOT爱悬疑,http://183.222.206.14:8096/udp/239.94.1.136:5140
iHOT爱赛车,http://183.222.206.14:8096/udp/239.94.1.144:5140
iHOT爱奇谈,http://183.222.206.14:8096/udp/239.94.1.130:5140
iHOT爱玩具,http://183.222.206.14:8096/udp/239.94.1.140:5140
iHOT爱旅行,http://183.222.206.14:8096/udp/239.94.1.137:5140
iHOT爱幼教,http://183.222.206.14:8096/udp/239.94.1.139:5140
iHOT爱谍战,http://183.222.206.14:8096/udp/239.94.1.134:5140
iHOT爱历史,http://183.222.206.14:8096/udp/239.94.1.135:5140
iHOT爱动漫,http://183.222.206.14:8096/udp/239.94.1.141:5140
iHOT爱体育,http://183.222.206.14:8096/udp/239.94.1.143:5140
BesTV_热门剧场,http://183.222.206.14:8096/udp/239.94.1.26:5140
BesTV_谍战剧场,http://183.222.206.14:8096/udp/239.94.1.28:5140
BesTV_星光院线,http://183.222.206.14:8096/udp/239.94.1.23:5140
BesTV_全球大片,http://183.222.206.14:8096/udp/239.94.1.24:5140
少儿天地,http://183.222.206.14:8096/udp/239.94.1.138:5140
卡酷少儿,http://112.66.102.205:8888/rtp/239.253.64.230:5140
嘉佳卡通,http://112.66.102.205:8888/rtp/239.253.64.127:5140
新动漫,http://106.59.3.228:55555/rtp/239.200.201.32:4120
茶频道,http://183.222.206.14:8096/udp/239.94.1.154:5140
金鹰卡通,http://112.66.102.205:8888/rtp/239.253.64.148:5140
金鹰纪实,http://112.66.102.205:8888/rtp/239.253.64.168:5140
快乐垂钓,http://183.222.206.14:8096/udp/239.94.1.153:5140
上海纪实,http://112.66.102.205:8888/rtp/239.253.64.149:5140
北京纪实科教,http://183.222.206.14:8096/udp/239.94.0.109:5140
求索频道,http://183.222.206.14:8096/udp/239.94.1.142:5140
☘️上海市,#genre#
东方财经,http://183.222.206.14:8096/udp/239.94.1.59:5140
☘️重庆市,#genre#
热播剧场,http://183.222.206.14:8096/udp/239.94.1.25:5140
☘️海南省,#genre#
海南社会与法,http://112.66.102.205:8888/rtp/239.253.64.14:5140
海南少儿,http://112.66.102.205:8888/rtp/239.253.64.124:5140
海南文旅,http://112.66.102.205:8888/rtp/239.253.64.122:5140
海南新闻,http://112.66.102.205:8888/rtp/239.253.64.121:5140
海南自贸,http://112.66.102.205:8888/rtp/239.253.64.119:5140
精选电影,http://112.66.102.205:8888/rtp/239.253.64.224:5140
海口1台,http://112.66.102.205:8888/rtp/239.253.64.80:5140
海口2台,http://112.66.102.205:8888/rtp/239.253.64.82:5140
海口3台,http://112.66.102.205:8888/rtp/239.253.64.83:5140
白沙TV,http://112.66.102.205:8888/rtp/239.253.64.118:5140
保亭TV,http://112.66.102.205:8888/rtp/239.253.64.159:5140
澄迈TV,http://112.66.102.205:8888/rtp/239.253.64.109:5140
儋州TV,http://112.66.102.205:8888/rtp/239.253.64.107:5140
定安TV,http://112.66.102.205:8888/rtp/239.253.64.110:5140
东方TV,http://112.66.102.205:8888/rtp/239.253.64.111:5140
临高,http://112.66.102.205:8888/rtp/239.253.64.155:5140
陵水TV,http://112.66.102.205:8888/rtp/239.253.64.116:5140
琼海TV,http://112.66.102.205:8888/rtp/239.253.64.106:5140
琼中TV,http://112.66.102.205:8888/rtp/239.253.64.165:5140
三亚1台,http://112.66.102.205:8888/rtp/239.253.64.9:5140
乐东TV,http://112.66.102.205:8888/rtp/239.253.64.166:5140
屯昌TV,http://112.66.102.205:8888/rtp/239.253.64.117:5140
昌江TV,http://112.66.102.205:8888/rtp/239.253.64.108:5140
万宁综合,http://112.66.102.205:8888/rtp/239.253.64.167:5140
文昌TV,http://112.66.102.205:8888/rtp/239.253.64.105:5140
五指山TV,http://112.66.102.205:8888/rtp/239.253.64.69:5140
☘️江苏省,#genre#
四川新闻频道,http://183.222.206.14:8096/udp/239.94.0.72:5140
☘️辽宁省,#genre#
辽宁都市频道,http://116.2.170.241:4010/rtp/232.0.0.154:1234
辽宁影视剧频道,http://116.2.170.241:4010/rtp/232.0.0.25:1234
辽宁体育休闲,http://116.2.170.241:4010/rtp/232.0.0.164:1234
辽宁生活频道,http://116.2.170.241:4010/rtp/232.0.0.150:1234
辽宁教育青少,http://116.2.170.241:4010/rtp/232.0.0.241:1234
辽宁北方频道,http://116.2.170.241:4010/rtp/232.0.0.151:1234
辽宁公共频道,http://116.2.170.241:4010/rtp/232.0.0.168:1234
辽宁经济频道,http://116.2.170.241:4010/rtp/232.0.0.156:1234
辽河文化生活,http://116.2.170.241:4010/rtp/232.0.0.215:1234
移动电视,http://116.2.170.241:4010/rtp/232.0.0.165:1234
☘️四川省,#genre#
四川影视文艺,http://183.222.206.14:8096/udp/239.94.0.73:5140
四川经济频道,http://183.222.206.14:8096/udp/239.94.0.70:5140
四川乡村频道,http://183.222.206.14:8096/udp/239.94.0.77:5140
四川文化旅游,http://183.222.206.14:8096/udp/239.94.0.71:5140
四川科教频道,http://183.222.206.14:8096/udp/239.94.0.76:5140
四川峨眉电影,http://183.222.206.14:8096/udp/239.94.0.103:5140
四川妇女儿童,http://183.222.206.14:8096/udp/239.94.0.75:5140
成都综合,http://183.222.206.14:8096/udp/239.94.0.154:5140
成都经济,http://183.222.206.14:8096/udp/239.94.0.155:5140
成都都市,http://183.222.206.14:8096/udp/239.94.0.156:5140
成都影视,http://183.222.206.14:8096/udp/239.94.0.157:5140
成都公共,http://183.222.206.14:8096/udp/239.94.0.158:5140
成都少儿,http://183.222.206.14:8096/udp/239.94.0.159:5140
成都蓉城先锋,http://183.222.206.14:8096/udp/239.94.0.160:5140
乐山综合,http://183.222.206.14:8096/udp/239.94.0.162:5140
乐山文旅生活,http://183.222.206.14:8096/udp/239.94.0.173:5140
自贡综合,http://183.222.206.14:8096/udp/239.94.0.169:5140
自贡文化生活,http://183.222.206.14:8096/udp/239.94.0.178:5140
广元综合,http://183.222.206.14:8096/udp/239.94.0.167:5140
广元文化生活,http://183.222.206.14:8096/udp/239.94.0.179:5140
德阳文旅科教,http://183.222.206.14:8096/udp/239.94.0.165:5140
内江综合,http://183.222.206.14:8096/udp/239.94.0.164:5140
内江科教生活,http://183.222.206.14:8096/udp/239.94.0.181:5140
凉山综合,http://183.222.206.14:8096/udp/239.94.0.171:5140
凉山彝语综合,http://183.222.206.14:8096/udp/239.94.0.175:5140
资阳综合,http://183.222.206.14:8096/udp/239.94.0.183:5140
宜宾公共,http://183.222.206.14:8096/udp/239.94.0.172:5140
宜宾综合,http://183.222.206.14:8096/udp/239.94.0.161:5140
攀枝花综合,http://183.222.206.14:8096/udp/239.94.0.168:5140
泸州综合,http://183.222.206.14:8096/udp/239.94.0.163:5140
泸州科教生活,http://183.222.206.14:8096/udp/239.94.0.182:5140
雅安综合,http://183.222.206.14:8096/udp/239.94.0.166:5140
雅安文化生活,http://183.222.206.14:8096/udp/239.94.0.180:5140
眉山综合,http://183.222.206.14:8096/udp/239.94.0.170:5140
眉山文旅乡村,http://183.222.206.14:8096/udp/239.94.0.174:5140
i成都,http://183.222.206.14:8096/udp/239.94.2.1:5140
亲子趣学4K,http://183.222.206.14:8096/udp/239.94.1.156:5140
爱宠宠物,http://183.222.206.14:8096/udp/239.94.1.145:5140
来钓鱼吧,http://183.222.206.14:8096/udp/239.94.1.148:5140
麻辣体育,http://183.222.206.14:8096/udp/239.94.1.149:5140
熊猫体娱,http://183.222.206.14:8096/udp/239.94.1.4:5140
熊猫少儿,http://183.222.206.14:8096/udp/239.94.1.5:5140
熊猫影院,http://183.222.206.14:8096/udp/239.94.1.6:5140
熊猫卡通,http://183.222.206.14:8096/udp/239.94.1.8:5140
