河南,#genre#
邓州综合频道,http://1.192.246.101:8188/rtp/239.16.20.20:10200$河南电信
获嘉综合频道,http://1.192.246.101:8188/rtp/239.16.20.25:10250$河南电信
平煤安全环保,http://1.192.246.101:8188/rtp/239.16.20.31:10310$河南电信
荥阳综合频道,http://1.192.246.101:8188/rtp/239.16.20.44:10440$河南电信
健康河南融媒,http://1.192.246.101:8188/rtp/239.16.20.52:10520$河南电信
灵宝综合频道,http://1.192.246.101:8188/rtp/239.16.20.59:10590$河南电信
渑池新闻综合,http://1.192.246.101:8188/rtp/239.16.20.135:11350$河南电信
济源-1,http://1.192.246.101:8188/rtp/239.16.20.174:11740$河南电信
濮阳新闻综合,http://1.192.246.101:8188/rtp/239.16.20.175:11750$河南电信
濮阳公共频道,http://1.192.246.101:8188/rtp/239.16.20.184:11840$河南电信
新县综合频道,http://1.192.246.101:8188/rtp/239.16.20.183:11830$河南电信
延津电视台,http://1.192.246.101:8188/rtp/239.16.20.210:12100$河南电信
体育赛事,http://1.192.246.101:8188/rtp/239.16.20.215:12150$河南电信
大象新闻,http://1.192.246.101:8188/rtp/239.16.20.216:12160$河南电信
大剧院,http://1.192.246.101:8188/rtp/239.16.20.217:12170$河南电信
舞钢电视台-1,http://1.192.246.101:8188/rtp/239.16.20.227:12270$河南电信
嵩县综合新闻,http://1.192.246.101:8188/rtp/239.16.20.234:12340$河南电信
浉河广电中心,http://1.192.246.101:8188/rtp/239.16.10.72:2000$河南电信
平桥广电中心,http://1.192.246.101:8188/rtp/239.16.10.73:2000$河南电信
郸城,http://1.192.246.101:8188/rtp/239.16.10.84:2000$河南电信
唐河TV-1,http://1.192.246.101:8188/rtp/239.16.10.95:2000$河南电信
上蔡-1,http://1.192.246.101:8188/rtp/239.16.10.97:2000$河南电信
舞阳新闻综合,http://1.192.246.101:8188/rtp/239.16.10.179:2000$河南电信
临颍综合频道,http://1.192.246.101:8188/rtp/239.16.10.180:2000$河南电信
项城电视台,http://1.192.246.101:8188/rtp/239.16.10.214:2000$河南电信
光山综合频道,http://1.192.246.101:8188/rtp/239.16.10.94:2000$河南电信
