卫视频道,#genre#
昌吉市电视台,http://222.82.204.16:8188/udp/238.125.3.27:5140$新疆电信
霍城1,http://222.82.204.16:8188/udp/238.125.3.7:5140$新疆电信
呼图壁1,http://222.82.204.16:8188/udp/238.125.3.91:5140$新疆电信
玛纳斯1,http://222.82.204.16:8188/udp/238.125.3.114:5140$新疆电信
竹山1,http://222.82.204.16:8188/udp/238.125.3.225:5140$新疆电信
竹山2,http://222.82.204.16:8188/udp/238.125.3.226:5140$新疆电信
奎屯1,http://222.82.204.16:8188/udp/238.125.3.248:5140$新疆电信
奎屯3,http://222.82.204.16:8188/udp/238.125.3.250:5140$新疆电信
综合,http://222.82.204.16:8188/udp/238.125.3.165:5140$新疆电信
哈密TV1,http://222.82.204.16:8188/udp/238.125.4.194:5140$新疆电信
哈密TV3,http://222.82.204.16:8188/udp/238.125.0.195:5140$新疆电信
茶频道,http://222.82.204.16:8188/udp/238.125.5.101:5140$新疆电信
上海游戏风云,http://222.82.204.16:8188/udp/238.125.5.36:5140$新疆电信
河南文物宝库,http://222.82.204.16:8188/udp/238.125.4.106:5140$新疆电信
河南武术世界,http://222.82.204.16:8188/udp/238.125.4.104:5140$新疆电信
CGTN英语,http://222.82.204.16:8188/udp/238.125.5.69:5140$新疆电信
CGTN纪录,http://222.82.204.16:8188/udp/238.125.3.119:5140$新疆电信
求索纪录,http://222.82.204.16:8188/udp/238.125.5.108:5140$新疆电信
人物频道,http://222.82.204.16:8188/udp/238.125.5.109:5140$新疆电信
党员远程教育,http://222.82.204.16:8188/udp/238.125.4.144:5140$新疆电信
SSTV2,http://222.82.204.16:8188/udp/238.125.3.240:5140$新疆电信
☘️新疆,#genre#
伊犁哈萨克1,http://222.82.204.16:8188/udp/238.125.4.147:5140$新疆电信
伊犁哈萨克2,http://222.82.204.16:8188/udp/238.125.4.148:5140$新疆电信
伊犁哈萨克3,http://222.82.204.16:8188/udp/238.125.4.149:5140$新疆电信
伊犁哈萨克4,http://222.82.204.16:8188/udp/238.125.4.150:5140$新疆电信
数字频道,#genre#
金鹰纪实,http://222.82.204.16:8188/udp/238.125.5.71:5140$新疆电信
金鹰卡通,http://222.82.204.16:8188/udp/238.125.5.104:5140$新疆电信
快乐垂钓,http://222.82.204.16:8188/udp/238.125.5.103:5140$新疆电信
上海欢笑剧场,http://222.82.204.16:8188/udp/238.125.5.61:5140$新疆电信
上海动漫秀场,http://222.82.204.16:8188/udp/238.125.5.33:5140$新疆电信
上海都市剧场,http://222.82.204.16:8188/udp/238.125.5.60:5140$新疆电信
上海法治天地,http://222.82.204.16:8188/udp/238.125.5.116:5140$新疆电信
上海生活时尚,http://222.82.204.16:8188/udp/238.125.5.113:5140$新疆电信
上海金色学堂,http://222.82.204.16:8188/udp/238.125.5.115:5140$新疆电信
上海哈哈炫动,http://222.82.204.16:8188/udp/238.125.5.106:5140$新疆电信
北京卡酷少儿,http://222.82.204.16:8188/udp/238.125.5.107:5140$新疆电信
北京纪实科教,http://222.82.204.16:8188/udp/238.125.5.70:5140$新疆电信
河南梨园频道,http://222.82.204.16:8188/udp/238.125.4.103:5140$新疆电信
精彩影视,http://222.82.204.16:8188/udp/238.125.5.110:5140$新疆电信
☘️上海市,#genre#
上海东方财经,http://222.82.204.16:8188/udp/238.125.4.54:5140$新疆电信
