卫视频道,#genre#
4K频道,#genre#
广东4K超高清,http://113.106.171.234:8899/rtp/239.20.0.60:3160$广东移动
咪咕4K,http://113.106.171.234:8899/rtp/239.20.0.66:3136$广东移动
金鹰纪实超清,http://113.106.171.234:8899/rtp/239.20.0.85:3060$广东移动
其它频道,#genre#
南方购物,http://113.106.171.234:8899/rtp/239.20.0.116:2030$广东移动
GCTN,http://113.106.171.234:8899/rtp/239.20.0.186:2170$广东移动
咪咕-赛事1,http://113.106.171.234:8899/rtp/239.20.0.45:3224$广东移动
咪咕-赛事2,http://113.106.171.234:8899/rtp/239.20.0.44:3228$广东移动
咪咕-赛事3,http://113.106.171.234:8899/rtp/239.20.0.43:3232$广东移动
咪咕-赛事4,http://113.106.171.234:8899/rtp/239.20.0.14:3348$广东移动
咪咕-赛事5,http://113.106.171.234:8899/rtp/239.20.0.13:3352$广东移动
咪咕-赛事6,http://113.106.171.234:8899/rtp/239.20.0.12:3356$广东移动
咪咕-赛事7,http://113.106.171.234:8899/rtp/239.20.0.11:3360$广东移动
咪咕-赛事8,http://113.106.171.234:8899/rtp/239.20.0.10:3364$广东移动
咪咕-赛事9,http://113.106.171.234:8899/rtp/239.20.0.09:3368$广东移动
咪咕-赛事10,http://113.106.171.234:8899/rtp/239.21.0.10:3380$广东移动
咪咕-赛事11,http://113.106.171.234:8899/rtp/239.21.0.11:3384$广东移动
咪咕-赛事12,http://113.106.171.234:8899/rtp/239.21.0.12:3388$广东移动
咪咕-赛事13,http://113.106.171.234:8899/rtp/239.21.0.13:3392$广东移动
咪咕-赛事14,http://113.106.171.234:8899/rtp/239.21.0.14:3396$广东移动
咪咕-赛事15,http://113.106.171.234:8899/rtp/239.21.0.15:3400$广东移动
咪咕-赛事16,http://113.106.171.234:8899/rtp/239.21.0.16:3404$广东移动
咪咕-赛事17,http://113.106.171.234:8899/rtp/239.21.0.17:3408$广东移动
咪咕-赛事18,http://113.106.171.234:8899/rtp/239.21.0.18:3412$广东移动
咪咕-赛事19,http://113.106.171.234:8899/rtp/239.21.0.19:3416$广东移动
咪咕-赛事20,http://113.106.171.234:8899/rtp/239.21.0.20:3420$广东移动
咪咕-赛事21,http://113.106.171.234:8899/rtp/239.21.0.21:3424$广东移动
咪咕-赛事22,http://113.106.171.234:8899/rtp/239.21.0.22:3428$广东移动
咪咕-赛事23,http://113.106.171.234:8899/rtp/239.21.0.23:3432$广东移动
咪咕-赛事25,http://113.106.171.234:8899/rtp/239.21.0.29:3456$广东移动
咪咕-赛事26,http://113.106.171.234:8899/rtp/239.21.0.30:3460$广东移动
咪咕-赛事27,http://113.106.171.234:8899/rtp/239.21.0.31:3464$广东移动
咪咕-赛事28,http://113.106.171.234:8899/rtp/239.21.0.32:3468$广东移动
咪咕-赛事29,http://113.106.171.234:8899/rtp/239.21.0.33:3472$广东移动
☘️吉林省,#genre#
河源生活频道,http://113.106.171.234:8899/rtp/239.21.0.49:3536$广东移动
☘️上海市,#genre#
汕尾新闻综合,http://113.106.171.234:8899/rtp/239.21.0.89:3696$广东移动
央视频道,#genre#
CCTV-1综合,http://113.106.171.234:8899/rtp/239.20.0.104:2006$广东移动
CCTV-2财经,http://113.106.171.234:8899/rtp/239.20.0.197:2192$广东移动
CCTV-3综艺,http://113.106.171.234:8899/rtp/239.20.0.28:3292$广东移动
CCTV-4中文国际,http://113.106.171.234:8899/rtp/239.20.0.16:3340$广东移动
CCTV-5体育,http://113.106.171.234:8899/rtp/239.20.0.30:3284$广东移动
CCTV-5+体育赛事,http://113.106.171.234:8899/rtp/239.20.0.203:2204$广东移动
CCTV-6电影,http://113.106.171.234:8899/rtp/239.20.0.29:3288$广东移动
CCTV-7国防军事,http://113.106.171.234:8899/rtp/239.20.0.198:2194$广东移动
CCTV-8电视剧,http://113.106.171.234:8899/rtp/239.20.0.31:3280$广东移动
CCTV-9纪录,http://113.106.171.234:8899/rtp/239.20.0.199:2196$广东移动
CCTV-10科教,http://113.106.171.234:8899/rtp/239.20.0.200:2198$广东移动
CCTV-11戏曲,http://113.106.171.234:8899/rtp/239.21.0.35:3480$广东移动
CCTV-12社会与法,http://113.106.171.234:8899/rtp/239.20.0.201:2200$广东移动
CCTV-13新闻,http://113.106.171.234:8899/rtp/239.21.0.88:3692$广东移动
CCTV-14少儿,http://113.106.171.234:8899/rtp/239.20.0.202:2202$广东移动
CCTV-15音乐,http://113.106.171.234:8899/rtp/239.21.0.36:3484$广东移动
CCTV-17农业农村,http://113.106.171.234:8899/rtp/239.20.0.7:3376$广东移动
CCTV风云足球,http://113.106.171.234:8899/rtp/239.21.0.70:3620$广东移动
CCTV央视台球,http://113.106.171.234:8899/rtp/239.21.0.71:3624$广东移动
CCTV高尔夫网球,http://113.106.171.234:8899/rtp/239.21.0.72:3628$广东移动
CCTV女性时尚,http://113.106.171.234:8899/rtp/239.21.0.73:3632$广东移动
CCTV世界地理,http://113.106.171.234:8899/rtp/239.21.0.74:3636$广东移动
CCTV怀旧剧场,http://113.106.171.234:8899/rtp/239.21.0.75:3640$广东移动
CCTV风云剧场,http://113.106.171.234:8899/rtp/239.21.0.76:3644$广东移动
CCTV央视文化精品,http://113.106.171.234:8899/rtp/239.21.0.77:3648$广东移动
CCTV第一剧场,http://113.106.171.234:8899/rtp/239.21.0.78:3652$广东移动
CCTV风云音乐,http://113.106.171.234:8899/rtp/239.21.0.79:3656$广东移动
CCTV兵器科技,http://113.106.171.234:8899/rtp/239.21.0.80:3660$广东移动
CCTV电视指南,http://113.106.171.234:8899/rtp/239.21.0.81:3664$广东移动
CETV1,http://113.106.171.234:8899/rtp/239.20.0.213:2224$广东移动
CETV2,http://113.106.171.234:8899/rtp/239.21.0.46:3524$广东移动
CETV4,http://113.106.171.234:8899/rtp/239.21.0.47:3528$广东移动
☘️福建省,#genre#
华数电视剧,http://113.106.171.234:8899/rtp/239.20.0.234:2266$广东移动
